TreatmentPlant,CH4 (t/y),Latitude,Longitude,Type,Treatment,Additional_info,Limit
Ashbridges Bay,783,43.658942,-79.317386,Wastewater ,Anaerobic digester,nan,3998
Humber Bay,164,43.633507,-79.479454,Wastewater ,Anaerobic digester,nan,1730
Clarkson ,39,43.49581,-79.620343,Wastewater ,Anaerobic digester,nan,796
Highland Creek,60,43.766362,-79.151001,Wastewater ,Anaerobic digester,nan,1001
GE Booth ,28,43.577868,-79.546584,Wastewater ,Aerobic tanks?,nan,669
Burlington Skyway,32,43.307828,-79.800675,Wastewater ,Anaerobic digester,nan,717
Courtice,32,43.871124,-78.752855,Wastewater ,Anaerobic digester,nan,717
Oakville Mid Halton,18,43.420801,-79.733362,Wastewater ,Anaerobic digester,nan,531
Duffin Creek,58,43.820821,-79.049019,Wastewater ,Anaerobic digester,nan,983
Harmony Creek,2,43.878836,-78.824087,Wastewater ,Anaerobic digester,nan,171
Corbett,12,43.856467,-78.891647,Wastewater ,Anaerobic digester,nan,430
Cannington,17,44.357098,-79.028521,Wastewater ,Seasonal lagoon,nan,515
Inglewood ,4,43.798577,-79.931262,Wastewater ,Anaerobic digester,nan,244
Oakville South West,8,43.413101,-79.693301,Wastewater ,Anaerobic digester,nan,349
Georgetown,7,43.639975,-79.879365,Wastewater ,Anaerobic digester,nan,326
Oakville South East,7,43.48229,-79.631582,Wastewater ,Anaerobic digester,nan,326
Sunderland,7,44.274868,-79.058046,Wastewater ,Anaerobic lagoon,nan,326
Acton,1,43.631228,-80.019542,Wastewater ,Anaerobic digester,nan,119
Port Darlingtion,6,43.893177,-78.662583,Wastewater ,Anaerobic digester,nan,301
Holland Landing Lagoons,34,44.118546,-79.481979,Wastewater ,Anaerobic lagoon,nan,740
Milton,4,43.511931,-79.875646,Wastewater ,Anaerobic digester,nan,244
Beare Road,4770,43.82505,-79.16188,solid waste,solid waste – gas recovery,nan,3998
Dufferin Organics Processing,0,43.761298,-79.474748,solid waste,Organic Digester- Open Flare,closed until 2019,5
Disco Road Organics Processing,170,43.700538,-79.602644,solid waste,Organic Digester- Enclosed Flare,nan,1765
Highland creek,22,43.766764,-79.150668,solid waste,Sludge Incinerator,nan,589
Keele Valley,21419,43.863803,-79.501375,solid waste,solid waste – gas recovery,nan,3998
Thackeray,2508,43.762573,-79.585515,solid waste,solid waste ,nan,3998
Richmond Hill Compost Facility,0,43.971458,-79.414527,solid waste,Compost ?,don't know the emissions,5
Halton Regional Landfill – Milton,222,43.475722,-79.819882,solid waste,landfill,nan,2050
Duffin Creek,68,43.820821,-79.049019,solid waste,Sludge Incinerator,nan,1070
Scott,76,44.061,-79.2417,solid waste,landfill,nan,1136
Oshawa,1100,43.925278,-78.835278,solid waste,landfill,nan,3998
Brock,567,44.340303,-79.034356,solid waste,landfill,nan,3539
Darlington,290,43.9145,-78.6942,solid waste,landfill,nan,2387
Scugog,276,44.1131,-78.8174,solid waste,landfill,nan,2321
Blackstock,10,44.1119,-78.8174,solid waste,landfill,nan,392
Miller Waste Pickering,112,43.8289,-79.056,solid waste,Compost,nan,1402
Miller Waste Clarington,112,43.8839447,-78.7549057,solid waste,Compost,nan,1402
Brock West,1042,43.868496,-79.100544,solid waste,solid waste -  gas recovery,nan,3998
Port Perry,0,44.110654,-78.964577,solid waste,landfill,don't know the emissions,5
